Time T(Setpoint) T(Copper) T(Cell1) T(Cell2) DAC T(Environment) RTH  
 s C C C C V C  
 5.400000E+1 2.700000E+1 2.896326E+1 2.574755E+1 2.433838E+1 4.606062E+0 2.322723E+1 0.124893824849355  
 5.500000E+1 2.700000E+1 2.904068E+1 2.583233E+1 2.435693E+1 4.268369E+0 2.323475E+1 0.124199017277961  
 5.600000E+1 2.700000E+1 2.908483E+1 2.590224E+1 2.435325E+1 3.935868E+0 2.323106E+1 0.122869296246193  
 5.700000E+1 2.700000E+1 2.911444E+1 2.596495E+1 2.436078E+1 3.631111E+0 2.322388E+1 0.121297749466107  
 5.800000E+1 2.700000E+1 2.914019E+1 2.603486E+1 2.436446E+1 3.337200E+0 2.322756E+1 0.119275847844006  
 5.900000E+1 2.700000E+1 2.912578E+1 2.609403E+1 2.437580E+1 3.043922E+0 2.322786E+1 0.116185579613421  
 6.000000E+1 2.700000E+1 2.913298E+1 2.615275E+1 2.437197E+1 2.792611E+0 2.323139E+1 0.113954746632763  
 6.100000E+1 2.700000E+1 2.911091E+1 2.621530E+1 2.437933E+1 2.518787E+0 2.323507E+1 0.110454963322945  
 6.200000E+1 2.700000E+1 2.911106E+1 2.626696E+1 2.436109E+1 2.276997E+0 2.324626E+1 0.108276709600197  
 6.300000E+1 2.700000E+1 2.907812E+1 2.631864E+1 2.437597E+1 2.012962E+0 2.323171E+1 0.104848882769018  
 6.400000E+1 2.700000E+1 2.904483E+1 2.636630E+1 2.436844E+1 1.786141E+0 2.323522E+1 0.101589149785901  
 6.500000E+1 2.700000E+1 2.900836E+1 2.641814E+1 2.437245E+1 1.563821E+0 2.323554E+1 0.0980470237495902  
 6.600000E+1 2.700000E+1 2.898675E+1 2.645171E+1 2.436923E+1 1.349244E+0 2.323968E+1 0.0958365262586049  
 6.700000E+1 2.700000E+1 2.892914E+1 2.649712E+1 2.435577E+1 1.122516E+0 2.322990E+1 0.091784314672689  
 6.800000E+1 2.700000E+1 2.889234E+1 2.651184E+1 2.435209E+1 9.389856E-1 2.322622E+1 0.089790071153115  
 6.900000E+1 2.700000E+1 2.884804E+1 2.655216E+1 2.435562E+1 7.392354E-1 2.325183E+1 0.0864667883893439  
 7.000000E+1 2.700000E+1 2.882581E+1 2.658512E+1 2.436650E+1 5.525343E-1 2.324799E+1 0.0842836142925065  
 7.100000E+1 2.700000E+1 2.877798E+1 2.662927E+1 2.436282E+1 3.465383E-1 2.325535E+1 0.0806897823334999  
 7.200000E+1 2.700000E+1 2.876420E+1 2.666332E+1 2.437111E+1 1.721215E-1 2.326732E+1 0.0787928885075077  
 7.300000E+1 2.700000E+1 2.873078E+1 2.668509E+1 2.436345E+1 0.000000E+0 2.327070E+1 0.0766604122376953  
 7.400000E+1 2.700000E+1 2.867942E+1 2.670732E+1 2.436360E+1 0.000000E+0 2.326349E+1 0.0738411791224279  
 7.500000E+1 2.700000E+1 2.865719E+1 2.672556E+1 2.436345E+1 0.000000E+0 2.325966E+1 0.0722765023445719  
 7.600000E+1 2.700000E+1 2.863495E+1 2.674011E+1 2.437800E+1 0.000000E+0 2.325581E+1 0.0708613390146861  
 7.700000E+1 2.700000E+1 2.859080E+1 2.676586E+1 2.437800E+1 0.000000E+0 2.327053E+1 0.0681816313766866  
 7.800000E+1 2.700000E+1 2.855768E+1 2.678058E+1 2.437432E+1 0.000000E+0 2.327053E+1 0.0663577861271115  
 7.900100E+1 2.700000E+1 2.855112E+1 2.679978E+1 2.437144E+1 0.000000E+0 2.327869E+1 0.065349043910062  
 8.000000E+1 2.700000E+1 2.850344E+1 2.680729E+1 2.437527E+1 0.000000E+0 2.328252E+1 0.0632719681847737  
 8.100000E+1 2.700000E+1 2.849593E+1 2.681082E+1 2.436040E+1 0.000000E+0 2.327133E+1 0.0628518635386759  
 8.200000E+1 2.700000E+1 2.844458E+1 2.684040E+1 2.436055E+1 0.000000E+0 2.328988E+1 0.0597673656130311  
 8.300000E+1 2.700000E+1 2.843737E+1 2.685527E+1 2.437542E+1 0.000000E+0 2.327531E+1 0.0589120869013791  
 8.400000E+1 2.700000E+1 2.841529E+1 2.686263E+1 2.437542E+1 0.000000E+0 2.329003E+1 0.0577999994788299  
 8.500000E+1 2.700000E+1 2.839720E+1 2.685925E+1 2.438309E+1 0.000000E+0 2.328298E+1 0.0572596033024006  
 8.600000E+1 2.700000E+1 2.837130E+1 2.687382E+1 2.437190E+1 0.000000E+0 2.328283E+1 0.055722632658848  
 8.700000E+1 2.700000E+1 2.835275E+1 2.688470E+1 2.437910E+1 0.000000E+0 2.328267E+1 0.0546054075366287  
 8.800000E+1 2.700000E+1 2.831227E+1 2.688470E+1 2.436439E+1 0.000000E+0 2.327163E+1 0.0530997184272096  
 8.900000E+1 2.700000E+1 2.830492E+1 2.690678E+1 2.438646E+1 0.000000E+0 2.327899E+1 0.0519623678492929  
 9.000000E+1 2.700000E+1 2.828682E+1 2.691076E+1 2.438676E+1 0.000000E+0 2.327930E+1 0.0511341931628835  
 9.100000E+1 2.700000E+1 2.825003E+1 2.691076E+1 2.437573E+1 0.000000E+0 2.326090E+1 0.0497670820147777  
 9.200000E+1 2.700000E+1 2.822828E+1 2.692581E+1 2.439077E+1 0.000000E+0 2.326490E+1 0.0483725466383371  
 9.300000E+1 2.700000E+1 2.822014E+1 2.691767E+1 2.438263E+1 0.000000E+0 2.326780E+1 0.0483871746700216  
 9.400000E+1 2.700000E+1 2.821865E+1 2.694561E+1 2.439954E+1 0.000000E+0 2.324056E+1 0.0472448016578582  
 9.500000E+1 2.700000E+1 2.817324E+1 2.692596E+1 2.437253E+1 0.000000E+0 2.323930E+1 0.0463225823703222  
 9.600000E+1 2.700000E+1 2.817317E+1 2.693324E+1 2.437613E+1 0.000000E+0 2.321347E+1 0.0460371644852234  
 9.700000E+1 2.700000E+1 2.814005E+1 2.693692E+1 2.437981E+1 0.000000E+0 2.320979E+1 0.0446647203911954  
 9.800000E+1 2.700000E+1 2.812917E+1 2.694444E+1 2.439100E+1 0.000000E+0 2.319155E+1 0.0439693680774215  
 9.900000E+1 2.700000E+1 2.809621E+1 2.694827E+1 2.439115E+1 0.000000E+0 2.318066E+1 0.0425979107378692  
 1.000000E+2 2.700000E+1 2.808166E+1 2.695580E+1 2.438029E+1 0.000000E+0 2.318451E+1 0.0417668924684112  
 1.010000E+2 2.700000E+1 2.807814E+1 2.695595E+1 2.438780E+1 0.000000E+0 2.317731E+1 0.0416305120019884  
 1.020000E+2 2.700000E+1 2.804885E+1 2.695242E+1 2.439163E+1 0.000000E+0 2.316642E+1 0.0406802060816803  
 1.030000E+2 2.700000E+1 2.802695E+1 2.694891E+1 2.438812E+1 0.000000E+0 2.312980E+1 0.0400031021662842  
 1.040000E+2 2.700000E+1 2.801607E+1 2.694907E+1 2.438828E+1 0.000000E+0 2.312260E+1 0.0395932030307539  
 1.050000E+2 2.700000E+1 2.798663E+1 2.696011E+1 2.439196E+1 0.000000E+0 2.311156E+1 0.0380755123031769  
 1.060000E+2 2.700000E+1 2.797943E+1 2.695290E+1 2.439211E+1 0.000000E+0 2.310067E+1 0.0380860686605152  
 1.070000E+2 2.700000E+1 2.795397E+1 2.695320E+1 2.439609E+1 0.000000E+0 2.308626E+1 0.0371299140732827  
 1.080000E+2 2.700000E+1 2.795415E+1 2.694234E+1 2.438890E+1 0.000000E+0 2.306804E+1 0.0375546444740879  
 1.090000E+2 2.700000E+1 2.793943E+1 2.695706E+1 2.439258E+1 0.000000E+0 2.307539E+1 0.0364420303994576  
 
